Asset ID,Plant,Equipment Installation Date,Last Inspection Date,,Asset Type,Last Inspection Comment,Work Order Rasised Date,Type of Corrosion,Work Order Comment (WO),Type of Work Order (WO),Resolution Comment ,Timeline (in hrs),Approval time (in hrs),Production Loss (in %),Rate of Corrosion (mpy),Equipmet Criticality,Next Planned Manitenance Date
AS0020,Plant-A,24-09-1999,31-01-2020,,Centrifugal Compressor,No Issue seen,,Pitting,Pitting corrosion was found with 0 degradation of  Centrifugal Compressor on 0 of surface area,NA,,,,,0,Low,01-11-2023
AS0021,Plant-A,26-07-2000,01-02-2020,,Centrifugal Compressor,High Corrosion,,Erosion,Erosion corrosion was found with 0.27 degradation of  Centrifugal Compressor on 0.46 of surface area,Retrofitment,The affected area of the compressor will be repaired and reinforced.,6,2,,77,High,02-11-2023
AS0022,Plant-B,27-03-1999,02-02-2020,,Centrifugal Compressor,Sign of Corrosion,,Fatigue,Fatigue corrosion was found with 0.15 degradation of  Centrifugal Compressor on 0.38 of surface area,Maintenance,Regular maintenance will be performed to address the fatigue corrosion.,3,1,,2,Medium,03-11-2023
AS0023,Plant-B,16-05-2000,03-02-2020,,Centrifugal Compressor,NA,01-10-2010,Pitting,Pitting corrosion was found with 0 degradation of  Centrifugal Compressor on 0 of surface area,NA,,,,,347,High,04-11-2023
AS0024,Plant-C,28-01-2000,04-02-2020,,Centrifugal Compressor,High Corrosion,,Stress,Stress corrosion was found with 0.3 degradation of  Centrifugal Compressor on 0.34 of surface area,Retrofitment,The affected area of the compressor will be repaired and reinforced.,6,2,,98,High,05-11-2023
AS0025,Plant-C,10-08-1999,05-02-2020,,Centrifugal Compressor,Sign of Corrosion,14-08-2011,Atmospheric,Atmospheric corrosion was found with 0.21 degradation of  Centrifugal Compressor on 0.46 of surface area,Maintenance,Regular maintenance will be performed to address the corrosion.,3,1,,6,Medium,06-11-2023
AS0020,Plant-A,06-11-2000,06-02-2020,,Centrifugal Compressor,Equipment deformation Seen,03-03-2009,Pitting,Pitting corrosion was found with 0.54 degradation of  Centrifugal Compressor on 0.56 of surface area,Replacement,The affected section of the compressor will be replaced.,7,3,,234,Medium,07-11-2023
AS0021,Plant-A,31-05-2000,07-02-2020,,Centrifugal Compressor,Sign of Corrosion,25-06-2008,Fatigue,Fatigue corrosion was found with 0.07 degradation of  Centrifugal Compressor on 0.35 of surface area,Maintenance,Regular maintenance will be performed to address the fatigue corrosion.,3,1,,6,High,08-11-2023
AS0022,Plant-B,10-01-2001,08-02-2020,,Centrifugal Compressor,NA,10-03-2010,Stress,Stress corrosion was found with 0 degradation of  Centrifugal Compressor on 0 of surface area,NA,,,,,109,Medium,09-11-2023
AS0023,Plant-B,12-04-1999,09-02-2020,,Centrifugal Compressor,Sign of Corrosion,25-12-2007,Pitting,Pitting corrosion was found with 0.13 degradation of  Centrifugal Compressor on 0.56 of surface area,Maintenance,Regular maintenance will be performed to address the pitting corrosion.,3,1,,4,Medium,10-11-2023
AS0024,Plant-C,13-01-2001,10-02-2020,,Centrifugal Compressor,No Issue seen,,Fatigue,Fatigue corrosion was found with 0 degradation of  Centrifugal Compressor on 0 of surface area,NA,,,,,0,Medium,11-11-2023
AS0025,Plant-C,12-06-1999,11-02-2020,,Centrifugal Compressor,NA,27-03-2007,Erosion,Erosion corrosion was found with 0 degradation of  Centrifugal Compressor on 0 of surface area,NA,,,,,509,High,12-11-2023
AS0020,Plant-A,28-04-2001,12-02-2020,,Centrifugal Compressor,High Corrosion,,Pitting,Pitting corrosion was found with 0.39 degradation of  Centrifugal Compressor on 0.61 of surface area,Retrofitment,The affected area will be repaired and reinforced.,6,2,,84,High,13-11-2023
AS0021,Plant-A,04-08-2000,13-02-2020,,Centrifugal Compressor,High Corrosion,,Atmospheric,Atmospheric corrosion was found with 0.28 degradation of  Centrifugal Compressor on 0.36 of surface area,Retrofitment,The affected area will be treated and reinforced.,6,2,,22,High,14-11-2023
AS0022,Plant-B,17-06-1999,14-02-2020,,Centrifugal Compressor,No Issue seen,21-03-2010,Erosion,Erosion corrosion was found with 0 degradation of  Centrifugal Compressor on 0 of surface area,NA,,,,,0,High,15-11-2023
AS0026,Plant-A,27-01-2001,15-02-2020,,Centrifugal Pump,NA,,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Centrifugal Pump on 0 of surface area,NA,,,,,238,High,16-11-2023
AS0027,Plant-B,10-12-1998,16-02-2020,,Centrifugal Pump,No Issue seen,17-03-2011,Stress,Stress corrosion was found with 0 degradation of  Centrifugal Pump on 0 of surface area,NA,,,,,0,High,17-11-2023
AS0028,Plant-C,17-12-2000,17-02-2020,,Centrifugal Pump,Equipment deformation Seen,16-11-2015,Atmospheric,Atmospheric corrosion was found with 0.43 degradation of  Centrifugal Pump on 0.48 of surface area,Replacement,The affected section of the pump will be replaced.,7,3,,546,High,18-11-2023
AS0029,Plant-C,25-10-1999,18-02-2020,,Centrifugal Pump,High Corrosion,,Pitting,Pitting corrosion was found with 0.35 degradation of  Centrifugal Pump on 0.54 of surface area,Retrofitment,The affected area will be repaired and reinforced.,6,2,,68,High,19-11-2023
AS0026,Plant-A,16-01-2000,19-02-2020,,Centrifugal Pump,NA,,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Centrifugal Pump on 0 of surface area,NA,,,,,524,Low,20-11-2023
AS0027,Plant-B,17-01-2001,20-02-2020,,Centrifugal Pump,Equipment deformation Seen,22-09-2014,Erosion,Erosion corrosion was found with 0.6 degradation of  Centrifugal Pump on 0.55 of surface area,Replacement,The affected section of the pump will be replaced.,7,3,,414,Low,21-11-2023
AS0028,Plant-C,10-01-2001,21-02-2020,,Centrifugal Pump,NA,,Fatigue,Fatigue corrosion was found with 0 degradation of  Centrifugal Pump on 0 of surface area,NA,,,,,328,Medium,22-11-2023
AS0029,Plant-C,15-08-1999,22-02-2020,,Centrifugal Pump,Equipment deformation Seen,,Fatigue,Fatigue corrosion was found with 0.49 degradation of  Centrifugal Pump on 0.52 of surface area,Replacement,The affected section of the pump will be replaced.,7,3,,350,Medium,23-11-2023
AS0026,Plant-A,19-06-2001,23-02-2020,,Centrifugal Pump,Sign of Corrosion,14-06-2011,Pitting,Pitting corrosion was found with 0.21 degradation of  Centrifugal Pump on 0.65 of surface area,Maintenance,Regular maintenance will be performed to address the pitting corrosion.,3,1,,1,Low,24-11-2023
AS0027,Plant-B,28-08-2000,24-02-2020,,Centrifugal Pump,No Issue seen,08-08-2017,Erosion,Erosion corrosion was found with 0 degradation of  Centrifugal Pump on 0 of surface area,NA,,,,,0,Low,25-11-2023
AS0028,Plant-C,06-11-2000,25-02-2020,,Centrifugal Pump,High Corrosion,,Fatigue,Fatigue corrosion was found with 0.4 degradation of  Centrifugal Pump on 0.63 of surface area,Retrofitment,The affected area will be repaired and reinforced.,6,2,,48,High,26-11-2023
AS0029,Plant-C,05-04-2000,26-02-2020,,Centrifugal Pump,High Corrosion,10-11-2017,Stress,Stress corrosion was found with 0.31 degradation of  Centrifugal Pump on 0.27 of surface area,Retrofitment,The affected area will be repaired and reinforced.,6,2,,79,Low,27-11-2023
AS0026,Plant-A,28-11-1999,27-02-2020,,Centrifugal Pump,NA,16-02-2011,Fatigue,Fatigue corrosion was found with 0 degradation of  Centrifugal Pump on 0 of surface area,NA,,,,,558,Low,28-11-2023
AS0027,Plant-B,10-03-1999,28-02-2020,,Centrifugal Pump,No Issue seen,,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Centrifugal Pump on 0 of surface area,NA,,,,,0,High,29-11-2023
AS0028,Plant-C,07-11-2000,29-02-2020,,Centrifugal Pump,High Corrosion,,Pitting,Pitting corrosion was found with 0.36 degradation of  Centrifugal Pump on 0.42 of surface area,Retrofitment,The affected area will be repaired and reinforced.,6,2,,60,High,30-11-2023
AS0029,Plant-C,26-04-2000,01-03-2020,,Centrifugal Pump,No Issue seen,25-08-2010,Fatigue,Fatigue corrosion was found with 0 degradation of  Centrifugal Pump on 0 of surface area,NA,,,,,0,High,01-12-2023
AS0026,Plant-A,15-08-1999,02-03-2020,,Centrifugal Pump,Equipment deformation Seen,24-12-2014,Atmospheric,Atmospheric corrosion was found with 0.47 degradation of  Centrifugal Pump on 0.29 of surface area,Replacement,The affected section of the pump will be replaced.,7,3,,593,High,02-12-2023
AS0027,Plant-B,27-08-1999,03-03-2020,,Centrifugal Pump,Sign of Corrosion,30-11-2017,Stress,Stress corrosion was found with 0.21 degradation of  Centrifugal Pump on 0.6 of surface area,Maintenance,Regular maintenance will be performed to address the stress corrosion.,3,1,,3,Low,03-12-2023
AS0030,Plant-A,10-01-2000,04-03-2020,,Check Valve,Sign of Corrosion,21-01-2014,Erosion,Erosion corrosion was found with 0.14 degradation of  Check Valve on 0.61 of surface area,Maintenance,Regular maintenance will be performed to address the erosion corrosion.,3,1,,1,Medium,04-12-2023
AS0031,Plant-A,08-08-1999,05-03-2020,,Check Valve,High Corrosion,12-11-2007,Fatigue,Fatigue corrosion was found with 0.28 degradation of  Check Valve on 0.54 of surface area,Retrofitment,The affected area will be repaired and reinforced.,6,2,,39,High,05-12-2023
AS0032,Plant-B,31-01-1999,06-03-2020,,Check Valve,NA,,Pitting,Pitting corrosion was found with 0 degradation of  Check Valve on 0 of surface area,NA,,,,,357,Low,06-12-2023
AS0033,Plant-B,10-06-2001,07-03-2020,,Check Valve,Equipment deformation Seen,02-11-2017,Erosion,Erosion corrosion was found with 0.56 degradation of  Check Valve on 0.39 of surface area,Replacement,The affected section of the valve will be replaced.,7,3,,459,Low,07-12-2023
AS0034,Plant-C,24-04-2000,08-03-2020,,Check Valve,High Corrosion,14-10-2016,Stress,Stress corrosion was found with 0.4 degradation of  Check Valve on 0.32 of surface area,Retrofitment,The affected area will be repaired and reinforced.,6,2,,48,Low,08-12-2023
AS0035,Plant-C,19-12-1998,09-03-2020,,Check Valve,NA,30-12-2014,Stress,Stress corrosion was found with 0 degradation of  Check Valve on 0 of surface area,NA,,,,,279,Medium,09-12-2023
AS0036,Plant-C,09-08-1999,10-03-2020,,Check Valve,No Issue seen,03-08-2012,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Check Valve on 0 of surface area,NA,,,,,0,Medium,10-12-2023
AS0031,Plant-A,23-11-1999,11-03-2020,,Check Valve,Equipment deformation Seen,11-07-2014,Stress,Stress corrosion was found with 0.53 degradation of  Check Valve on 0.53 of surface area,Replacement,The affected section of the valve will be replaced.,7,3,,435,High,11-12-2023
AS0032,Plant-B,12-09-2000,12-03-2020,,Check Valve,High Corrosion,03-05-2012,Stress,Stress corrosion was found with 0.28 degradation of  Check Valve on 0.36 of surface area,Retrofitment,The affected area will be repaired and reinforced.,6,2,,31,Medium,12-12-2023
AS0033,Plant-B,10-03-2001,13-03-2020,,Check Valve,Equipment deformation Seen,15-07-2010,Stress,Stress corrosion was found with 0.47 degradation of  Check Valve on 0.59 of surface area,Replacement,The affected section of the valve will be replaced.,7,3,,160,Low,13-12-2023
AS0034,Plant-C,11-12-1999,14-03-2020,,Check Valve,Sign of Corrosion,,Atmospheric,Atmospheric corrosion was found with 0.25 degradation of  Check Valve on 0.55 of surface area,Maintenance,Regular maintenance will be performed to address the atmospheric corrosion.,3,1,,3,High,14-12-2023
AS0035,Plant-C,08-01-2000,15-03-2020,,Check Valve,NA,17-05-2015,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Check Valve on 0 of surface area,NA,,,,,279,Medium,15-12-2023
AS0036,Plant-C,24-04-1999,16-03-2020,,Check Valve,NA,14-03-2013,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Check Valve on 0 of surface area,NA,,,,,110,Low,16-12-2023
AS0031,Plant-A,26-11-1999,17-03-2020,,Check Valve,No Issue seen,,Pitting,Pitting corrosion was found with 0 degradation of  Check Valve on 0 of surface area,NA,,,,,0,High,17-12-2023
AS0032,Plant-B,20-11-2000,18-03-2020,,Check Valve,No Issue seen,18-08-2010,Stress,Stress corrosion was found with 0 degradation of  Check Valve on 0 of surface area,NA,,,,,0,Low,18-12-2023
AS0033,Plant-B,04-08-2001,19-03-2020,,Check Valve,High Corrosion,23-02-2008,Fatigue,Fatigue corrosion was found with 0.26 degradation of  Check Valve on 0.47 of surface area,Retrofitment,The affected area will be repaired and reinforced.,6,2,,79,High,19-12-2023
AS0034,Plant-C,12-02-1999,20-03-2020,,Check Valve,High Corrosion,08-09-2008,Atmospheric,Atmospheric corrosion was found with 0.38 degradation of  Check Valve on 0.49 of surface area,Retrofitment,The affected area will be treated and reinforced.,6,2,,62,Low,20-12-2023
AS0035,Plant-C,09-10-1999,21-03-2020,,Check Valve,Equipment deformation Seen,,Erosion,Erosion corrosion was found with 0.6 degradation of  Check Valve on 0.56 of surface area,Replacement,The affected section of the valve will be replaced.,7,3,,334,High,21-12-2023
AS0036,Plant-C,03-11-2000,22-03-2020,,Check Valve,High Corrosion,11-06-2013,Erosion,Erosion corrosion was found with 0.35 degradation of  Check Valve on 0.59 of surface area,Retrofitment,The affected area will be repaired and reinforced.,6,2,,97,Low,22-12-2023
AS0031,Plant-A,02-10-2000,23-03-2020,,Check Valve,Equipment deformation Seen,12-01-2017,Stress,Stress corrosion was found with 0.47 degradation of  Check Valve on 0.28 of surface area,Replacement,The affected section of the valve will be replaced.,7,3,,599,Low,23-12-2023
AS0032,Plant-B,18-10-2000,24-03-2020,,Evaporator,No Issue seen,19-09-2007,Pitting,Pitting corrosion was found with 0 degradation of  Evaporator on 0 of surface area,NA,,,,,0,Medium,24-12-2023
AS0037,Plant-A,01-02-1999,25-03-2020,,Evaporator,NA,,Pitting,Pitting corrosion was found with 0 degradation of  Evaporator on 0 of surface area,NA,,,,,423,High,25-12-2023
AS0038,Plant-A,27-04-2001,26-03-2020,,Evaporator,Equipment deformation Seen,03-09-2011,Erosion,Erosion corrosion was found with 0.51 degradation of  Evaporator on 0.5 of surface area,Replacement,The affected section of the evaporator will be replaced.,7,3,,272,Medium,26-12-2023
AS0039,Plant-B,20-08-2000,27-03-2020,,Evaporator,Equipment deformation Seen,,Fatigue,Fatigue corrosion was found with 0.55 degradation of  Evaporator on 0.26 of surface area,Replacement,The affected section of the evaporator will be replaced.,7,3,,552,Medium,27-12-2023
AS0040,Plant-B,07-11-1999,28-03-2020,,Evaporator,NA,,Erosion,Erosion corrosion was found with 0 degradation of  Evaporator on 0 of surface area,NA,,,,,190,High,28-12-2023
AS0041,Plant-C,25-07-2001,29-03-2020,,Evaporator,High Corrosion,28-10-2009,Erosion,Erosion corrosion was found with 0.4 degradation of  Evaporator on 0.44 of surface area,Retrofitment,The affected area will be repaired and reinforced.,6,2,,63,Low,29-12-2023
AS0042,Plant-C,07-10-1999,30-03-2020,,Evaporator,High Corrosion,12-12-2007,Atmospheric,Atmospheric corrosion was found with 0.29 degradation of  Evaporator on 0.35 of surface area,Retrofitment,A protective coating will be applied to prevent further corrosion.,5,2,,43,High,30-12-2023
AS0037,Plant-A,15-07-1999,31-03-2020,,Evaporator,High Corrosion,,Stress,Stress corrosion was found with 0.26 degradation of  Evaporator on 0.43 of surface area,Retrofitment,The affected section of the evaporator will be replaced and reinforced.,7,3,,85,Low,31-12-2023
AS0038,Plant-A,21-05-2001,01-04-2020,,Evaporator,NA,04-09-2014,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Evaporator on 0 of surface area,NA,,,,,374,High,01-01-2024
AS0039,Plant-B,30-01-1999,02-04-2020,,Evaporator,Equipment deformation Seen,09-12-2015,Fatigue,Fatigue corrosion was found with 0.49 degradation of  Evaporator on 0.26 of surface area,Replacement,The entire evaporator will be replaced to ensure optimal performance.,8,3,,596,High,02-01-2024
AS0040,Plant-B,08-05-1999,03-04-2020,,Evaporator,No Issue seen,,Stress,Stress corrosion was found with 0 degradation of  Evaporator on 0 of surface area,NA,,,,,0,Medium,03-01-2024
AS0041,Plant-C,14-08-2000,04-04-2020,,Evaporator,Sign of Corrosion,,Atmospheric,Atmospheric corrosion was found with 0.15 degradation of  Evaporator on 0.56 of surface area,Maintenance,Regular maintenance will be performed to mitigate further corrosion.,4,2,,9,Low,04-01-2024
AS0042,Plant-C,30-01-1999,05-04-2020,,Evaporator,High Corrosion,17-03-2007,Fatigue,Fatigue corrosion was found with 0.33 degradation of  Evaporator on 0.49 of surface area,Retrofitment,The affected area will be reinforced with additional supports.,6,2,,18,High,05-01-2024
AS0037,Plant-A,24-04-1999,06-04-2020,,Evaporator,No Issue seen,07-06-2017,Erosion,Erosion corrosion was found with 0 degradation of  Evaporator on 0 of surface area,NA,,,,,0,High,06-01-2024
AS0038,Plant-A,14-05-2000,07-04-2020,,Evaporator,Sign of Corrosion,16-08-2012,Fatigue,Fatigue corrosion was found with 0.23 degradation of  Evaporator on 0.29 of surface area,Maintenance,Regular maintenance will be performed to mitigate further corrosion.,4,2,,8,High,07-01-2024
AS0039,Plant-B,24-05-2001,08-04-2020,,Evaporator,No Issue seen,,Pitting,Pitting corrosion was found with 0 degradation of  Evaporator on 0 of surface area,NA,,,,,0,Medium,08-01-2024
AS0040,Plant-B,26-09-1999,09-04-2020,,Evaporator,High Corrosion,,Atmospheric,Atmospheric corrosion was found with 0.39 degradation of  Evaporator on 0.55 of surface area,Retrofitment,A protective coating will be applied to prevent further corrosion.,5,2,,51,High,09-01-2024
